symbol,tvlUsd,apy,pools,largest_pool_id,largest_pool_tvl,largest_pool_pct_of_tvl
GTUSDCCORE,66777406,0.0590696,1,468e4c2c-02df-427a-b2c7-5cea3a77014a,66777406,100.0
USDC-ΑΙ16Ζ,66710637,9.999999999999999e-05,1,23231f42-6c41-404b-89aa-939d77b1f2e9,66710637,100.0
WEETHS,66568756,0.01535599722614615,3,b6b9796f-d033-4582-8fbe-23902dcba331,42151996,63.32099100665183
WSTETH-WETH,65021585,0.004617465762141911,35,5a20ab8c-6994-4ef9-a4d0-cf80f8313aed,24390739,37.51175705729105
HGETH,64858149,0.11738146638300147,3,bb925c10-033a-488d-90c1-595001b5656e,52369861,80.74522909989305
SDEUSD,63906916,0.010837902078590367,3,f41d49f5-322b-4693-bcd9-84dfc9b9ebfe,55405018,86.69643517142964
PEPE-WETH,63035471,0.19401025889425974,11,9f79f58d-6192-4ea1-944e-e1ae866fc2b2,53360300,84.6512275604318
MKR-WETH,61647803,0.017711571262086986,6,031fe8ae-e000-49b6-bcc4-0a90021e5bc3,40720336,66.05318278738984
WETH-WEETH,61570186,0.02551611659164876,11,747e43ae-940f-430b-a216-251d5949b27e,17466784,28.368899194165177
WBTC-ETH-USDC-DAI-FRAX-LINK-UNI-USDT,61477425,0.04779290838244282,2,825688c0-c694-4a6b-8497-177e425b7348,52007820,84.59661412298904
STUSDT,59943498,0.03862562312223922,2,11e29b13-2042-403a-ab27-d27f23b37c33,58178319,97.05526194016906
DOLA-USR,59821859,0.051041391251992016,4,d78803f4-437f-4ce5-b199-1bae142a185d,29910746,49.99969325593844
SDCRV,59328050,0.1078361,1,0d9e7113-c9bc-4fb6-b138-5ca6f6944d6d,59328050,100.0
SUSDX,59103601,0.08995927104268993,5,91490e14-edd1-4a80-a748-d98515d75e84,25171816,42.58931025200985
LTWT,58025394,0.0,1,70218fe5-6303-4b62-87a3-9861cd1a4b77,58025394,100.0
WBTC-USDT,55823609,0.1339725070209595,13,2608e751-41d4-47db-9b9c-4bf3a757fc1b,34521525,61.84036757637794
STEAKUSDT,55137453,0.0442642,1,2bad58b8-13f6-41c6-9245-a9dc1ea85be9,55137453,100.0
YLBFBTC.TAC,53973792,0.082125,1,d38a1076-72a5-4342-85ac-6ba277b74011,53973792,100.0
VOLOSUI,53904930,0.0017273,1,4353715f-6172-41db-a615-aac308e11af6,53904930,100.0
USD3,53734249,0.02996510372947429,2,9c4e675e-7615-4d60-90ef-03d58c66b476,49732592,92.55287442465233
HUSDC,53384455,0.0570912,1,b3553660-cefd-4682-b03f-2aa0b306d047,53384455,100.0
XUSDC,52892683,0.0823,1,aec4729d-5547-484c-962a-24ec9914603a,52892683,100.0
WCORE,52157930,0.004380469536850869,2,959e6cb8-6b57-4d66-b0a4-7581601e0eb7,49694602,95.27717453510904
WCGUSD,51260458,0.0705102,2,8ecb95b6-47aa-438c-8549-718cdfd61ee2,25630229,50.0
VDOT,50920844,0.11136118799090211,2,ff05ab26-971e-4e68-b1c6-c61a4c12c364,50857450,99.87550481292101
FXSAVE,50679259,0.10781497843267203,7,ee0b7069-f8f3-4aa2-a415-728f13e6cc3d,37402570,73.80251948829797
ADA,50543738,0.022880261810349287,6,79e042b5-e55d-4a4e-b0b0-6661a570470b,39961751,79.06370320295662
SUSDS-USDT,50479752,0.0395,1,6f74baf2-48f3-4e4a-ad67-5c056f37e4fa,50479752,100.0
GTLRTCORE,50427508,0.0360532,1,d3b8e6bc-50f7-4604-bda8-5e69ee9950aa,50427508,100.0
PT-CUSDO-19JUN2025,50248464,0.0,2,83cfd51d-cbb4-4091-98e2-6ada659b9944,50054985,99.61495539445743
STEAKETH,50169004,0.02389437678777119,2,3925e26d-d104-4d4f-88c7-205c00399598,49434056,98.53505562916895
YNETHX,49795982,0.05594740316644623,6,e3c59895-d6ad-4634-b257-f599f1a1a4a0,33503077,67.2806834093562
SUSDF,49793455,0.10115585644947313,10,5d3b838e-b738-4edd-9af8-317c5bb61e1a,19234326,38.62822131944851
KODISOLVBTC-SOLVBTC.BBN,49507279,0.0009660000000000001,1,93904c5c-fc07-40c8-a7c3-a1e890a0a58f,49507279,100.0
WBTC-LBTC,48786046,0.006984100718010638,3,2fa87ded-b27a-4348-b852-e64acd817b79,39397532,80.75573904882556
SLERF-WSOL,48011750,0.0086,1,eb0fb099-5af2-45a7-961a-0daf3cb53916,48011750,100.0
CUSDO-USDC,47597505,0.014179019582139863,2,08d1f13b-5d65-42c5-863d-fcb447dcea75,40206125,84.47107679278567
SLVLUSD,47134220,0.08077329494510571,8,b6d90dca-549a-438c-ba42-c1ca4c4c8d87,15043208,31.915682491404336
FXUSDSTABILITYPOOLV2.0,46691181,0.12100000000000001,1,abd6c9e1-3b52-459a-a31b-9022a4dcf7e2,46691181,100.0
USD1,46643473,0.008718039244416899,3,d6fec854-4258-495b-95df-e4066214f41d,44012902,94.36025915137151
GHO-USR,46548899,0.06791834230908018,6,2321794d-15f0-4203-92e9-126cb0012be6,11063131,23.766686726575422
MATICX,46192758,0.03486580739725911,6,5b1fe146-7cbd-448d-bf53-8df9c3501016,36179824,78.32358483552768
